bucket	J	A	K	L	B	D	V	T	M	N	Z	W	U	O	X	C	G	E	F	H	I	P	Q	R	S
core	0.16557377049180327	0.001639344262295082	0.07377049180327869	0.029508196721311476	0.00819672131147541	0.014754098360655738	0.01639344262295082	0.07049180327868852	0.05081967213114754	0.018032786885245903	0.001639344262295082	0.001639344262295082	0.018032786885245903	0.04918032786885246	0.0	0.06721311475409836	0.06885245901639345	0.11967213114754098	0.04426229508196721	0.05081967213114754	0.02459016393442623	0.05081967213114754	0.011475409836065573	0.018032786885245903	0.02459016393442623
soft_core	0.06387665198237885	0.0022026431718061676	0.07048458149779736	0.04405286343612335	0.0022026431718061676	0.022026431718061675	0.02643171806167401	0.04405286343612335	0.05726872246696035	0.019823788546255508	0.0	0.0022026431718061676	0.024229074889867842	0.030837004405286344	0.0022026431718061676	0.06828193832599119	0.09691629955947137	0.07488986784140969	0.037444933920704845	0.07048458149779736	0.048458149779735685	0.05506607929515418	0.01762114537444934	0.06828193832599119	0.05066079295154185
shell	0.04887762490948588	0.000724112961622013	0.04779145546705286	0.04055032585083273	0.000724112961622013	0.008689355539464157	0.03403330919623461	0.07313540912382331	0.06589427950760318	0.00941346850108617	0.0	0.001448225923244026	0.023171614771904415	0.03041274438812455	0.024257784214337438	0.05611875452570601	0.08761766835626358	0.12128892107168718	0.02172338884866039	0.055394641564083996	0.04018826937002172	0.07204923968139029	0.04163649529326575	0.06517016654598118	0.029688631426502535
cloud	0.0392508691263878	0.000672872042166648	0.04508242682516542	0.06852080296063699	0.00168218010541662	0.009644499271055288	0.04149377593360996	0.06964225636424806	0.055175507457665134	0.012672423460805203	0.000336436021083324	0.003027924189749916	0.043063810698665474	0.026466300325221487	0.08635191207805315	0.049904676460693055	0.0728944712347202	0.07446450599977571	0.018840417180666143	0.03801727038241561	0.04115733991252663	0.06055848379499832	0.04553100818660984	0.06706291353594258	0.02848491645172143
